id,name,username,email,address_city,company_name,email_domain,name_length,username_length,location_company
1,Leanne Graham,bret,sincere@april.biz,Gwenborough,Romaguera-Crona,april.biz,13,4,Gwenborough - Romaguera-Crona
2,Ervin Howell,antonette,shanna@melissa.tv,Wisokyburgh,Deckow-Crist,melissa.tv,12,9,Wisokyburgh - Deckow-Crist
3,Clementine Bauch,samantha,nathan@yesenia.net,Mckenziehaven,Romaguera-Jacobson,yesenia.net,16,8,Mckenziehaven - Romaguera-Jacobson
4,Patricia Lebsack,karianne,julianne.oconner@kory.org,South Elvis,Robel-Corkery,kory.org,16,8,South Elvis - Robel-Corkery
5,Chelsey Dietrich,kamren,lucio_hettinger@annie.ca,Roscoeview,Keebler Llc,annie.ca,16,6,Roscoeview - Keebler Llc
6,Mrs. Dennis Schulist,leopoldo_corkery,karley_dach@jasper.info,South Christy,Considine-Lockman,jasper.info,20,16,South Christy - Considine-Lockman
7,Kurtis Weissnat,elwyn.skiles,telly.hoeger@billy.biz,Howemouth,Johns Group,billy.biz,15,12,Howemouth - Johns Group
8,Nicholas Runolfsdottir V,maxime_nienow,sherwood@rosamond.me,Aliyaview,Abernathy Group,rosamond.me,24,13,Aliyaview - Abernathy Group
9,Glenna Reichert,delphine,chaim_mcdermott@dana.io,Bartholomebury,Yost And Sons,dana.io,15,8,Bartholomebury - Yost And Sons
10,Clementina Dubuque,moriah.stanton,rey.padberg@karina.biz,Lebsackbury,Hoeger Llc,karina.biz,18,14,Lebsackbury - Hoeger Llc
